match_id,season,season_norm,team1,team2,venue,t1_won_toss,toss_bat_first,toss_winner_bats,t1_form,t2_form,form_diff,venue_toss_rate,venue_matches,h2h_t1_winrate,winner,team1_enc,team2_enc,venue_enc
335982,2007,0.0,Royal Challengers Bangalore,Kolkata Knight Riders,M Chinnaswamy Stadium,1,0,0,0.5,0.5,0.0,0.5556,63,0.5,0,12,5,23
335983,2007,0.0,Punjab Kings,Chennai Super Kings,"Punjab Cricket Association Stadium, Mohali",0,1,0,0.5,0.5,0.0,0.4571,35,0.6,0,9,0,40
335984,2007,0.0,Delhi Capitals,Rajasthan Royals,Feroz Shah Kotla,0,1,0,0.5,0.5,0.0,0.5254,59,0.6,1,1,10,16
335985,2007,0.0,Mumbai Indians,Royal Challengers Bangalore,Wankhede Stadium,1,1,1,0.5,0.0,0.5,0.5068,73,0.4,0,7,12,55
335986,2007,0.0,Kolkata Knight Riders,Sunrisers Hyderabad,Eden Gardens,0,1,0,1.0,0.5,0.5,0.5584,77,0.8,1,5,14,14
335987,2007,0.0,Rajasthan Royals,Punjab Kings,Sawai Mansingh Stadium,0,1,0,0.0,0.0,0.0,0.5319,47,0.6,1,10,9,46
335988,2007,0.0,Sunrisers Hyderabad,Delhi Capitals,"Rajiv Gandhi International Stadium, Uppal",1,1,1,0.0,1.0,-1.0,0.3469,49,0.4,0,14,1,42
335989,2007,0.0,Chennai Super Kings,Mumbai Indians,"MA Chidambaram Stadium, Chepauk",0,0,1,1.0,0.0,1.0,0.5208,48,0.6,1,0,7,27
335990,2007,0.0,Sunrisers Hyderabad,Rajasthan Royals,"Rajiv Gandhi International Stadium, Uppal",0,0,1,0.0,0.5,-0.5,0.3469,49,0.5,0,14,10,42
335991,2007,0.0,Punjab Kings,Mumbai Indians,"Punjab Cricket Association Stadium, Mohali",0,0,1,0.0,0.0,0.0,0.4571,35,0.5,1,9,7,40
335992,2007,0.0,Royal Challengers Bangalore,Rajasthan Royals,M Chinnaswamy Stadium,0,0,1,0.5,0.6667,-0.1667,0.5556,63,0.7,0,12,10,23
335993,2007,0.0,Chennai Super Kings,Kolkata Knight Riders,"MA Chidambaram Stadium, Chepauk",0,1,0,1.0,1.0,0.0,0.5208,48,0.7,1,0,5,27
335994,2007,0.0,Mumbai Indians,Sunrisers Hyderabad,Dr DY Patil Sports Academy,0,0,1,0.0,0.0,0.0,0.5294,17,0.7,0,7,14,9
335995,2007,0.0,Punjab Kings,Delhi Capitals,"Punjab Cricket Association Stadium, Mohali",0,1,0,0.3333,1.0,-0.6667,0.4571,35,0.3,1,9,1,40
335996,2007,0.0,Royal Challengers Bangalore,Chennai Super Kings,M Chinnaswamy Stadium,0,1,0,0.3333,1.0,-0.6667,0.5556,63,0.3,0,12,0,23
335997,2007,0.0,Kolkata Knight Riders,Mumbai Indians,Eden Gardens,1,1,1,0.6667,0.0,0.6667,0.5584,77,0.5,0,5,7,14
335998,2007,0.0,Delhi Capitals,Royal Challengers Bangalore,Feroz Shah Kotla,0,0,1,0.6667,0.25,0.4167,0.5254,59,0.5,1,1,12,16
335999,2007,0.0,Sunrisers Hyderabad,Punjab Kings,"Rajiv Gandhi International Stadium, Uppal",0,0,1,0.25,0.5,-0.25,0.3469,49,0.7,0,14,9,42
